EMOTION AND GAZE REPORT #2
==================================================

EMOTIONAL TIMELINE:
20:01:33.222 (5.1s): angry (60.0%)
20:01:33.255 (5.2s): angry (60.0%)
20:01:35.264 (7.2s): angry (60.0%)
20:01:35.296 (7.2s): angry (60.0%)
20:01:35.342 (7.3s): angry (60.0%)
20:01:35.375 (7.3s): angry (60.0%)
20:01:35.405 (7.3s): angry (60.0%)
20:01:35.439 (7.4s): angry (60.0%)
20:01:35.470 (7.4s): angry (60.0%)
20:01:35.500 (7.4s): angry (60.0%)
20:01:35.530 (7.5s): angry (60.0%)
20:01:35.561 (7.5s): angry (60.0%)
20:01:35.842 (7.8s): angry (60.0%)
20:01:35.889 (7.8s): angry (60.0%)
20:01:35.920 (7.9s): angry (60.0%)
20:01:35.999 (7.9s): angry (60.0%)
20:01:36.465 (8.4s): angry (60.0%)
20:01:36.497 (8.4s): angry (60.0%)
20:01:36.545 (8.5s): angry (60.0%)
20:01:36.575 (8.5s): angry (60.0%)
20:01:36.606 (8.5s): angry (60.0%)
20:01:36.638 (8.6s): angry (60.0%)
20:01:36.670 (8.6s): angry (60.0%)
20:01:36.703 (8.6s): angry (60.0%)
20:01:36.733 (8.7s): angry (60.0%)
20:01:36.763 (8.7s): angry (60.0%)
20:01:36.796 (8.7s): angry (60.0%)
20:01:36.825 (8.8s): angry (60.0%)
20:01:37.043 (9.0s): angry (60.0%)
20:01:37.075 (9.0s): angry (60.0%)
20:01:37.105 (9.0s): angry (60.0%)
20:01:37.135 (9.1s): angry (60.0%)
20:01:37.167 (9.1s): angry (60.0%)
20:01:37.199 (9.1s): angry (60.0%)
20:01:37.387 (9.3s): angry (60.0%)
20:01:37.416 (9.4s): angry (60.0%)
20:01:38.070 (10.0s): angry (60.0%)
20:01:38.103 (10.0s): angry (60.0%)
20:01:38.464 (10.4s): angry (60.0%)
20:01:38.494 (10.4s): angry (60.0%)
20:01:38.571 (10.5s): angry (60.0%)
20:01:38.601 (10.5s): angry (60.0%)
20:01:38.633 (10.6s): angry (60.0%)
20:01:38.664 (10.6s): angry (60.0%)
20:01:38.695 (10.6s): angry (60.0%)
20:01:38.727 (10.7s): angry (60.0%)
20:01:38.759 (10.7s): angry (60.0%)
20:01:38.806 (10.7s): angry (60.0%)
20:01:38.836 (10.8s): angry (60.0%)
20:01:38.867 (10.8s): angry (60.0%)
20:01:38.898 (10.8s): angry (60.0%)
20:01:38.946 (10.9s): angry (60.0%)
20:01:38.978 (10.9s): angry (60.0%)
20:01:39.008 (10.9s): angry (60.0%)
20:01:39.039 (11.0s): angry (60.0%)
