EMOTION AND GAZE REPORT #1
==================================================

EMOTIONAL TIMELINE:
21:13:28.602 (10.9s): sad (70.0%)
21:13:28.636 (11.0s): sad (70.0%)
21:13:28.680 (11.0s): sad (70.0%)
21:13:28.714 (11.0s): sad (70.0%)
21:13:28.746 (11.1s): sad (70.0%)
21:13:28.762 (11.1s): sad (70.0%)
21:13:28.793 (11.1s): sad (70.0%)
21:13:28.828 (11.1s): sad (70.0%)
21:13:28.857 (11.2s): sad (70.0%)
21:13:28.909 (11.2s): sad (70.0%)
21:13:28.936 (11.3s): sad (70.0%)
21:13:28.968 (11.3s): sad (70.0%)
21:13:29.002 (11.3s): sad (70.0%)
21:13:29.031 (11.3s): sad (70.0%)
21:13:29.081 (11.4s): sad (70.0%)
21:13:29.113 (11.4s): sad (70.0%)
21:13:29.148 (11.5s): sad (70.0%)
21:13:29.172 (11.5s): sad (70.0%)
21:13:29.337 (11.7s): neutral (50.0%)
21:13:29.368 (11.7s): sad (70.0%)
21:13:29.421 (11.7s): sad (70.0%)
21:13:29.450 (11.8s): sad (70.0%)
21:13:29.485 (11.8s): sad (70.0%)
21:13:29.504 (11.8s): sad (70.0%)
21:13:29.534 (11.8s): sad (70.0%)
21:13:29.565 (11.9s): sad (70.0%)
21:13:29.598 (11.9s): sad (70.0%)
21:13:29.644 (12.0s): sad (70.0%)
21:13:29.680 (12.0s): sad (70.0%)
21:13:29.708 (12.0s): sad (70.0%)
21:13:29.738 (12.1s): sad (70.0%)
21:13:29.776 (12.1s): sad (70.0%)
21:13:29.819 (12.1s): sad (70.0%)
21:13:29.854 (12.2s): sad (70.0%)
21:13:29.875 (12.2s): sad (70.0%)
21:13:29.909 (12.2s): sad (70.0%)
21:13:29.938 (12.3s): sad (70.0%)
21:13:29.965 (12.3s): sad (70.0%)
21:13:29.993 (12.3s): sad (70.0%)
21:13:30.047 (12.4s): sad (70.0%)
21:13:30.077 (12.4s): sad (70.0%)
21:13:30.106 (12.4s): angry (60.0%)
21:13:30.142 (12.5s): angry (60.0%)
21:13:30.170 (12.5s): angry (60.0%)
21:13:30.221 (12.5s): angry (60.0%)
21:13:30.251 (12.6s): angry (60.0%)
21:13:30.284 (12.6s): angry (60.0%)
21:13:30.301 (12.6s): angry (60.0%)
21:13:30.330 (12.6s): angry (60.0%)
21:13:30.365 (12.7s): angry (60.0%)
21:13:30.413 (12.7s): angry (60.0%)
21:13:30.442 (12.8s): angry (60.0%)
21:13:30.477 (12.8s): angry (60.0%)
21:13:30.521 (12.8s): angry (60.0%)
21:13:30.555 (12.9s): angry (60.0%)
21:13:30.602 (12.9s): angry (60.0%)
21:13:30.624 (12.9s): angry (60.0%)
21:13:30.641 (13.0s): angry (60.0%)
21:13:30.671 (13.0s): angry (60.0%)
21:13:30.697 (13.0s): angry (60.0%)
21:13:30.750 (13.1s): angry (60.0%)
21:13:30.779 (13.1s): angry (60.0%)
21:13:30.810 (13.1s): angry (60.0%)
21:13:30.843 (13.2s): angry (60.0%)
21:13:30.872 (13.2s): angry (60.0%)
21:13:30.904 (13.2s): angry (60.0%)
21:13:30.935 (13.3s): angry (60.0%)
21:13:30.973 (13.3s): angry (60.0%)
21:13:31.005 (13.3s): angry (60.0%)
21:13:31.033 (13.3s): angry (60.0%)
21:13:31.067 (13.4s): angry (60.0%)
21:13:31.098 (13.4s): angry (60.0%)
21:13:31.149 (13.5s): angry (60.0%)
21:13:31.178 (13.5s): angry (60.0%)
21:13:31.215 (13.5s): angry (60.0%)
21:13:31.246 (13.6s): angry (60.0%)
21:13:31.275 (13.6s): angry (60.0%)
21:13:31.306 (13.6s): angry (60.0%)
21:13:31.339 (13.7s): angry (60.0%)
21:13:31.370 (13.7s): angry (60.0%)
21:13:31.407 (13.7s): angry (60.0%)
21:13:31.437 (13.8s): angry (60.0%)
21:13:31.468 (13.8s): angry (60.0%)
21:13:31.502 (13.8s): sad (70.0%)
21:13:31.548 (13.9s): sad (70.0%)
21:13:31.584 (13.9s): sad (70.0%)
21:13:31.611 (13.9s): sad (70.0%)
21:13:31.637 (14.0s): sad (70.0%)
21:13:31.669 (14.0s): sad (70.0%)
21:13:31.699 (14.0s): sad (70.0%)
21:13:31.731 (14.0s): sad (70.0%)
21:13:31.776 (14.1s): sad (70.0%)
21:13:31.805 (14.1s): sad (70.0%)
21:13:31.834 (14.1s): sad (70.0%)
21:13:31.887 (14.2s): sad (70.0%)
21:13:31.916 (14.2s): sad (70.0%)
21:13:31.946 (14.3s): sad (70.0%)
21:13:31.974 (14.3s): sad (70.0%)
21:13:32.005 (14.3s): sad (70.0%)
21:13:32.037 (14.4s): sad (70.0%)
21:13:32.069 (14.4s): sad (70.0%)
21:13:32.109 (14.4s): sad (70.0%)
21:13:32.137 (14.5s): angry (60.0%)
21:13:32.167 (14.5s): sad (70.0%)
21:13:32.203 (14.5s): sad (70.0%)
21:13:32.233 (14.6s): sad (70.0%)
21:13:32.285 (14.6s): sad (70.0%)
21:13:32.313 (14.6s): sad (70.0%)
21:13:32.345 (14.7s): sad (70.0%)
21:13:32.363 (14.7s): sad (70.0%)
21:13:32.393 (14.7s): angry (60.0%)
21:13:32.425 (14.7s): angry (60.0%)
21:13:32.463 (14.8s): angry (60.0%)
21:13:32.509 (14.8s): angry (60.0%)
21:13:32.539 (14.9s): angry (60.0%)
21:13:32.574 (14.9s): sad (70.0%)
21:13:32.605 (14.9s): sad (70.0%)
21:13:32.644 (15.0s): sad (70.0%)
21:13:32.686 (15.0s): sad (70.0%)
21:13:32.722 (15.0s): sad (70.0%)
21:13:32.766 (15.1s): sad (70.0%)
21:13:32.794 (15.1s): sad (70.0%)
21:13:32.825 (15.1s): sad (70.0%)
21:13:32.858 (15.2s): sad (70.0%)
21:13:32.888 (15.2s): sad (70.0%)
21:13:32.921 (15.2s): sad (70.0%)
21:13:32.951 (15.3s): sad (70.0%)
21:13:32.982 (15.3s): sad (70.0%)
21:13:33.013 (15.3s): sad (70.0%)
21:13:33.045 (15.4s): sad (70.0%)
21:13:33.087 (15.4s): sad (70.0%)
21:13:33.122 (15.4s): sad (70.0%)
21:13:33.167 (15.5s): sad (70.0%)
21:13:33.188 (15.5s): sad (70.0%)
21:13:33.220 (15.5s): sad (70.0%)
21:13:33.251 (15.6s): sad (70.0%)
21:13:33.282 (15.6s): sad (70.0%)
21:13:33.313 (15.6s): sad (70.0%)
21:13:33.343 (15.7s): sad (70.0%)
21:13:33.373 (15.7s): sad (70.0%)
21:13:33.407 (15.7s): sad (70.0%)
21:13:33.437 (15.7s): sad (70.0%)
21:13:33.490 (15.8s): sad (70.0%)
21:13:33.518 (15.8s): sad (70.0%)
21:13:33.568 (15.9s): sad (70.0%)
21:13:33.594 (15.9s): sad (70.0%)
21:13:33.624 (15.9s): sad (70.0%)
21:13:33.655 (16.0s): sad (70.0%)
21:13:33.688 (16.0s): sad (70.0%)
21:13:33.720 (16.0s): sad (70.0%)
21:13:33.751 (16.1s): sad (70.0%)
21:13:33.783 (16.1s): sad (70.0%)
21:13:33.820 (16.1s): sad (70.0%)
21:13:33.855 (16.2s): sad (70.0%)
21:13:33.890 (16.2s): sad (70.0%)
21:13:33.920 (16.2s): sad (70.0%)
21:13:33.951 (16.3s): sad (70.0%)
21:13:33.970 (16.3s): sad (70.0%)
21:13:34.000 (16.3s): sad (70.0%)
21:13:34.044 (16.4s): sad (70.0%)
21:13:34.080 (16.4s): sad (70.0%)
