EMOTION AND GAZE REPORT #4
==================================================

EMOTIONAL TIMELINE:
21:14:47.742 (30.0s): sad (70.0%)
21:14:47.777 (0.0s): sad (70.0%)
21:14:47.807 (0.1s): sad (70.0%)
21:14:47.836 (0.1s): sad (70.0%)
21:14:47.873 (0.1s): sad (70.0%)
21:14:47.901 (0.2s): sad (70.0%)
21:14:47.947 (0.2s): sad (70.0%)
21:14:47.983 (0.2s): sad (70.0%)
21:14:48.012 (0.3s): sad (70.0%)
21:14:48.036 (0.3s): sad (70.0%)
21:14:48.068 (0.3s): sad (70.0%)
21:14:48.100 (0.4s): sad (70.0%)
21:14:48.128 (0.4s): sad (70.0%)
21:14:48.172 (0.4s): sad (70.0%)
21:14:48.203 (0.5s): sad (70.0%)
21:14:48.238 (0.5s): sad (70.0%)
21:14:48.273 (0.5s): sad (70.0%)
21:14:48.304 (0.6s): sad (70.0%)
21:14:48.350 (0.6s): sad (70.0%)
21:14:48.383 (0.6s): sad (70.0%)
21:14:48.412 (0.7s): sad (70.0%)
21:14:48.445 (0.7s): sad (70.0%)
21:14:48.474 (0.7s): sad (70.0%)
21:14:48.493 (0.8s): sad (70.0%)
21:14:48.523 (0.8s): sad (70.0%)
21:14:48.570 (0.8s): sad (70.0%)
21:14:48.606 (0.9s): sad (70.0%)
21:14:48.638 (0.9s): sad (70.0%)
21:14:48.668 (0.9s): sad (70.0%)
21:14:48.703 (1.0s): sad (70.0%)
21:14:48.748 (1.0s): sad (70.0%)
21:14:48.779 (1.0s): sad (70.0%)
21:14:48.817 (1.1s): sad (70.0%)
21:14:48.860 (1.1s): sad (70.0%)
21:14:48.881 (1.1s): sad (70.0%)
21:14:48.913 (1.2s): sad (70.0%)
21:14:48.943 (1.2s): sad (70.0%)
21:14:48.976 (1.2s): sad (70.0%)
21:14:49.008 (1.3s): sad (70.0%)
21:14:49.039 (1.3s): sad (70.0%)
21:14:49.070 (1.3s): sad (70.0%)
21:14:49.104 (1.4s): sad (70.0%)
21:14:49.149 (1.4s): sad (70.0%)
21:14:49.179 (1.4s): sad (70.0%)
21:14:49.214 (1.5s): sad (70.0%)
