EMOTION AND GAZE REPORT #2
==================================================

EMOTIONAL TIMELINE:
21:13:47.712 (30.0s): sad (70.0%)
21:13:47.744 (0.0s): sad (70.0%)
21:13:47.777 (0.1s): sad (70.0%)
21:13:47.809 (0.1s): sad (70.0%)
21:13:47.839 (0.1s): sad (70.0%)
21:13:47.885 (0.2s): sad (70.0%)
21:13:47.916 (0.2s): sad (70.0%)
21:13:47.950 (0.2s): sad (70.0%)
21:13:47.980 (0.3s): sad (70.0%)
21:13:48.010 (0.3s): sad (70.0%)
21:13:48.042 (0.3s): sad (70.0%)
21:13:48.071 (0.4s): sad (70.0%)
21:13:48.104 (0.4s): sad (70.0%)
21:13:48.135 (0.4s): sad (70.0%)
21:13:48.171 (0.5s): sad (70.0%)
21:13:48.202 (0.5s): sad (70.0%)
21:13:48.238 (0.5s): sad (70.0%)
21:13:48.268 (0.6s): sad (70.0%)
21:13:48.303 (0.6s): sad (70.0%)
21:13:48.347 (0.6s): sad (70.0%)
21:13:48.377 (0.7s): sad (70.0%)
21:13:48.415 (0.7s): sad (70.0%)
21:13:48.460 (0.8s): sad (70.0%)
21:13:48.491 (0.8s): sad (70.0%)
21:13:48.524 (0.8s): sad (70.0%)
21:13:48.555 (0.8s): sad (70.0%)
21:13:48.573 (0.9s): sad (70.0%)
21:13:48.607 (0.9s): sad (70.0%)
21:13:48.636 (0.9s): sad (70.0%)
21:13:48.666 (1.0s): sad (70.0%)
21:13:48.701 (1.0s): sad (70.0%)
21:13:48.746 (1.0s): sad (70.0%)
21:13:48.778 (1.1s): sad (70.0%)
21:13:48.812 (1.1s): sad (70.0%)
21:13:48.837 (1.1s): sad (70.0%)
21:13:48.867 (1.2s): sad (70.0%)
21:13:48.897 (1.2s): sad (70.0%)
21:13:48.938 (1.2s): sad (70.0%)
21:13:48.968 (1.3s): angry (60.0%)
21:13:49.002 (1.3s): angry (60.0%)
21:13:49.037 (1.3s): angry (60.0%)
21:13:49.094 (1.4s): angry (60.0%)
21:13:49.261 (1.6s): sad (70.0%)
21:13:49.277 (1.6s): sad (70.0%)
21:13:49.293 (1.6s): sad (70.0%)
21:13:49.337 (1.6s): sad (70.0%)
21:13:49.371 (1.7s): sad (70.0%)
21:13:49.404 (1.7s): sad (70.0%)
21:13:49.432 (1.7s): sad (70.0%)
21:13:49.470 (1.8s): sad (70.0%)
21:13:49.498 (1.8s): sad (70.0%)
21:13:49.544 (1.8s): sad (70.0%)
21:13:49.580 (1.9s): sad (70.0%)
21:13:49.608 (1.9s): sad (70.0%)
21:13:49.633 (1.9s): sad (70.0%)
21:13:49.662 (2.0s): sad (70.0%)
21:13:49.693 (2.0s): sad (70.0%)
21:13:49.742 (2.0s): sad (70.0%)
21:13:49.771 (2.1s): sad (70.0%)
21:13:49.803 (2.1s): sad (70.0%)
21:13:49.837 (2.1s): sad (70.0%)
21:13:49.867 (2.2s): sad (70.0%)
21:13:49.903 (2.2s): sad (70.0%)
21:13:49.948 (2.2s): sad (70.0%)
21:13:49.978 (2.3s): sad (70.0%)
21:13:50.013 (2.3s): sad (70.0%)
21:13:50.057 (2.3s): sad (70.0%)
21:13:50.082 (2.4s): sad (70.0%)
21:13:50.113 (2.4s): sad (70.0%)
21:13:50.144 (2.4s): sad (70.0%)
21:13:50.176 (2.5s): sad (70.0%)
21:13:50.206 (2.5s): sad (70.0%)
21:13:50.237 (2.5s): sad (70.0%)
21:13:50.268 (2.6s): sad (70.0%)
21:13:50.300 (2.6s): sad (70.0%)
21:13:50.346 (2.6s): sad (70.0%)
21:13:50.376 (2.7s): sad (70.0%)
21:13:50.414 (2.7s): surprise (75.0%)
21:13:50.456 (2.7s): sad (70.0%)
21:13:50.473 (2.8s): sad (70.0%)
21:13:50.503 (2.8s): sad (70.0%)
21:13:50.536 (2.8s): sad (70.0%)
21:13:50.571 (2.9s): sad (70.0%)
21:13:50.602 (2.9s): sad (70.0%)
21:13:50.633 (2.9s): surprise (75.0%)
21:13:50.669 (3.0s): surprise (75.0%)
21:13:50.698 (3.0s): surprise (75.0%)
21:13:50.744 (3.0s): sad (70.0%)
21:13:50.779 (3.1s): surprise (75.0%)
21:13:50.808 (3.1s): sad (70.0%)
21:13:50.859 (3.2s): surprise (75.0%)
21:13:50.875 (3.2s): surprise (75.0%)
21:13:50.890 (3.2s): surprise (75.0%)
21:13:50.940 (3.2s): surprise (75.0%)
21:13:50.969 (3.3s): surprise (75.0%)
21:13:51.000 (3.3s): surprise (75.0%)
21:13:51.035 (3.3s): surprise (75.0%)
21:13:51.146 (3.4s): surprise (75.0%)
21:13:51.165 (3.5s): surprise (75.0%)
21:13:51.191 (3.5s): surprise (75.0%)
21:13:51.228 (3.5s): surprise (75.0%)
21:13:51.255 (3.5s): surprise (75.0%)
21:13:51.481 (3.8s): surprise (75.0%)
21:13:51.512 (3.8s): surprise (75.0%)
21:13:51.546 (3.8s): surprise (75.0%)
21:13:51.575 (3.9s): surprise (75.0%)
21:13:51.606 (3.9s): surprise (75.0%)
21:13:51.627 (3.9s): surprise (75.0%)
21:13:51.707 (4.0s): surprise (75.0%)
21:13:51.736 (4.0s): surprise (75.0%)
21:13:51.768 (4.1s): surprise (75.0%)
21:13:51.883 (4.2s): surprise (75.0%)
21:13:51.902 (4.2s): surprise (75.0%)
21:13:52.251 (4.5s): angry (60.0%)
21:13:52.298 (4.6s): sad (70.0%)
21:13:52.323 (4.6s): sad (70.0%)
21:13:52.352 (4.6s): surprise (75.0%)
21:13:52.369 (4.7s): sad (70.0%)
21:13:52.399 (4.7s): sad (70.0%)
21:13:52.441 (4.7s): sad (70.0%)
21:13:52.472 (4.8s): sad (70.0%)
21:13:52.510 (4.8s): sad (70.0%)
21:13:52.538 (4.8s): sad (70.0%)
21:13:52.570 (4.9s): sad (70.0%)
21:13:52.618 (4.9s): sad (70.0%)
21:13:52.650 (4.9s): sad (70.0%)
21:13:52.701 (5.0s): sad (70.0%)
21:13:52.718 (5.0s): sad (70.0%)
21:13:52.744 (5.0s): sad (70.0%)
21:13:52.775 (5.1s): sad (70.0%)
21:13:52.807 (5.1s): sad (70.0%)
21:13:52.843 (5.1s): sad (70.0%)
21:13:52.874 (5.2s): sad (70.0%)
21:13:52.910 (5.2s): sad (70.0%)
21:13:52.938 (5.2s): sad (70.0%)
21:13:52.975 (5.3s): sad (70.0%)
21:13:53.020 (5.3s): sad (70.0%)
21:13:53.050 (5.3s): sad (70.0%)
21:13:53.103 (5.4s): sad (70.0%)
21:13:53.135 (5.4s): sad (70.0%)
21:13:53.166 (5.5s): sad (70.0%)
21:13:53.198 (5.5s): sad (70.0%)
21:13:53.229 (5.5s): sad (70.0%)
21:13:53.261 (5.6s): sad (70.0%)
21:13:53.279 (5.6s): sad (70.0%)
21:13:53.308 (5.6s): sad (70.0%)
21:13:53.340 (5.6s): sad (70.0%)
21:13:53.371 (5.7s): sad (70.0%)
21:13:53.420 (5.7s): sad (70.0%)
21:13:53.451 (5.7s): sad (70.0%)
21:13:53.502 (5.8s): sad (70.0%)
21:13:53.526 (5.8s): sad (70.0%)
21:13:53.558 (5.8s): sad (70.0%)
21:13:53.576 (5.9s): sad (70.0%)
21:13:53.605 (5.9s): sad (70.0%)
21:13:53.643 (5.9s): sad (70.0%)
21:13:53.675 (6.0s): sad (70.0%)
21:13:53.709 (6.0s): angry (60.0%)
21:13:53.741 (6.0s): angry (60.0%)
21:13:53.769 (6.1s): angry (60.0%)
21:13:53.820 (6.1s): sad (70.0%)
21:13:53.849 (6.1s): sad (70.0%)
21:13:53.897 (6.2s): sad (70.0%)
21:13:53.919 (6.2s): sad (70.0%)
21:13:53.950 (6.2s): sad (70.0%)
21:13:53.980 (6.3s): sad (70.0%)
21:13:54.014 (6.3s): sad (70.0%)
21:13:54.047 (6.3s): sad (70.0%)
21:13:54.076 (6.4s): sad (70.0%)
21:13:54.105 (6.4s): sad (70.0%)
21:13:54.142 (6.4s): sad (70.0%)
21:13:54.171 (6.5s): sad (70.0%)
21:13:54.217 (6.5s): sad (70.0%)
21:13:54.254 (6.5s): sad (70.0%)
21:13:54.299 (6.6s): sad (70.0%)
21:13:54.321 (6.6s): sad (70.0%)
21:13:54.353 (6.6s): sad (70.0%)
21:13:54.384 (6.7s): sad (70.0%)
21:13:54.415 (6.7s): sad (70.0%)
21:13:54.447 (6.7s): sad (70.0%)
21:13:54.476 (6.8s): sad (70.0%)
21:13:54.508 (6.8s): sad (70.0%)
21:13:54.558 (6.8s): sad (70.0%)
21:13:54.589 (6.9s): sad (70.0%)
21:13:54.618 (6.9s): sad (70.0%)
21:13:54.648 (6.9s): sad (70.0%)
21:13:54.679 (7.0s): sad (70.0%)
21:13:54.709 (7.0s): sad (70.0%)
21:13:54.741 (7.0s): sad (70.0%)
21:13:54.772 (7.1s): sad (70.0%)
21:13:54.816 (7.1s): sad (70.0%)
21:13:54.845 (7.1s): sad (70.0%)
21:13:54.875 (7.2s): sad (70.0%)
21:13:54.911 (7.2s): sad (70.0%)
21:13:54.958 (7.2s): sad (70.0%)
21:13:54.988 (7.3s): sad (70.0%)
21:13:55.023 (7.3s): sad (70.0%)
21:13:55.056 (7.3s): sad (70.0%)
21:13:55.086 (7.4s): sad (70.0%)
