EMOTION AND GAZE REPORT #3
==================================================

EMOTIONAL TIMELINE:
21:14:17.714 (30.0s): sad (70.0%)
21:14:17.743 (0.0s): sad (70.0%)
21:14:17.773 (0.1s): sad (70.0%)
21:14:17.823 (0.1s): sad (70.0%)
21:14:17.857 (0.1s): sad (70.0%)
21:14:17.893 (0.2s): sad (70.0%)
21:14:17.924 (0.2s): sad (70.0%)
21:14:17.956 (0.2s): sad (70.0%)
21:14:17.986 (0.3s): sad (70.0%)
21:14:18.018 (0.3s): sad (70.0%)
21:14:18.048 (0.3s): sad (70.0%)
21:14:18.080 (0.4s): sad (70.0%)
21:14:18.114 (0.4s): sad (70.0%)
21:14:18.143 (0.4s): sad (70.0%)
21:14:18.174 (0.5s): sad (70.0%)
21:14:18.209 (0.5s): sad (70.0%)
21:14:18.253 (0.5s): sad (70.0%)
21:14:18.292 (0.6s): sad (70.0%)
21:14:18.328 (0.6s): sad (70.0%)
21:14:18.361 (0.6s): sad (70.0%)
21:14:18.387 (0.7s): sad (70.0%)
21:14:18.410 (0.7s): sad (70.0%)
21:14:18.435 (0.7s): sad (70.0%)
21:14:18.464 (0.7s): sad (70.0%)
21:14:18.515 (0.8s): sad (70.0%)
21:14:18.545 (0.8s): sad (70.0%)
21:14:18.574 (0.9s): sad (70.0%)
21:14:18.610 (0.9s): sad (70.0%)
21:14:18.640 (0.9s): sad (70.0%)
21:14:18.690 (1.0s): sad (70.0%)
21:14:18.719 (1.0s): sad (70.0%)
21:14:18.755 (1.0s): sad (70.0%)
21:14:18.780 (1.1s): sad (70.0%)
21:14:18.801 (1.1s): sad (70.0%)
21:14:18.830 (1.1s): sad (70.0%)
21:14:18.866 (1.1s): sad (70.0%)
21:14:18.912 (1.2s): sad (70.0%)
21:14:18.942 (1.2s): sad (70.0%)
21:14:18.977 (1.3s): sad (70.0%)
21:14:19.010 (1.3s): sad (70.0%)
21:14:19.039 (1.3s): sad (70.0%)
21:14:19.091 (1.4s): sad (70.0%)
21:14:19.127 (1.4s): sad (70.0%)
21:14:19.159 (1.4s): sad (70.0%)
21:14:19.190 (1.5s): sad (70.0%)
21:14:19.222 (1.5s): sad (70.0%)
21:14:19.254 (1.5s): sad (70.0%)
21:14:19.287 (1.6s): sad (70.0%)
21:14:19.317 (1.6s): sad (70.0%)
21:14:19.347 (1.6s): sad (70.0%)
21:14:19.378 (1.7s): sad (70.0%)
21:14:19.410 (1.7s): sad (70.0%)
21:14:19.440 (1.7s): sad (70.0%)
21:14:19.471 (1.8s): sad (70.0%)
21:14:19.519 (1.8s): sad (70.0%)
21:14:19.554 (1.8s): sad (70.0%)
21:14:19.583 (1.9s): sad (70.0%)
21:14:19.612 (1.9s): sad (70.0%)
21:14:19.642 (1.9s): sad (70.0%)
21:14:19.674 (2.0s): sad (70.0%)
21:14:19.704 (2.0s): sad (70.0%)
21:14:19.736 (2.0s): sad (70.0%)
21:14:19.775 (2.1s): sad (70.0%)
21:14:19.812 (2.1s): sad (70.0%)
21:14:19.847 (2.1s): sad (70.0%)
21:14:19.879 (2.2s): sad (70.0%)
21:14:19.911 (2.2s): sad (70.0%)
21:14:19.953 (2.2s): sad (70.0%)
21:14:19.990 (2.3s): sad (70.0%)
21:14:20.021 (2.3s): sad (70.0%)
21:14:20.051 (2.3s): sad (70.0%)
21:14:20.083 (2.4s): sad (70.0%)
21:14:20.113 (2.4s): sad (70.0%)
21:14:20.145 (2.4s): sad (70.0%)
21:14:20.176 (2.5s): sad (70.0%)
21:14:20.206 (2.5s): sad (70.0%)
21:14:20.239 (2.5s): sad (70.0%)
21:14:20.276 (2.6s): sad (70.0%)
21:14:20.307 (2.6s): sad (70.0%)
21:14:20.336 (2.6s): sad (70.0%)
21:14:20.368 (2.7s): sad (70.0%)
21:14:20.416 (2.7s): sad (70.0%)
